KBID	Title	AlternateTitle	PackageName	URL	ProxiedURL	Publisher	Edition	Author	Editor	Illustrator	PrintISSN	OnlineISSN	PrintISBN	OnlineISBN	DOI	PeerReviewed	ManagedCoverageBegin	ManagedCoverageEnd	CustomCoverageBegin	CustomCoverageEnd	CoverageStatement	Embargo	CustomEmbargo	Description	Subject	ResourceType	PackageContentType	CreateCustom	HideOnPublicationFinder	Delete	OrderedThroughEBSCO	IsCustom	UserDefinedField1	UserDefinedField2	UserDefinedField3	UserDefinedField4	UserDefinedField5	PackageType	AllowEbscoToAddNewTitles	
345457	Colloid Science: Volume 1	Colloid Science Volume 1|Colloid Science: Volume 1	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847557421	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847557421	Royal Society of Chemistry		Douglas H Everett					978-0-85186-508-9	978-1-84755-742-1		N	1973-01-01	1973-12-31							Physical Chemistry|REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / General|SCIENCE / Chemistry / Physical & Theoretical	Book	EBook	N	N	N	N	N						Complete	Y	
345458	Colloid Science: Volume 2	Colloid Science Volume 2|Colloid Science: Volume 2	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847555847	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847555847	Royal Society of Chemistry		Douglas H Everett					978-0-85186-518-8	978-1-84755-584-7		N	1975-01-01	1975-12-31							Physical Chemistry|REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / General|SCIENCE / Chemistry / Physical & Theoretical	Book	EBook	N	N	N	N	N						Complete	Y	
345459	Colloid Science: Volume 3	Colloid Science Volume 3|Colloid Science: Volume 3	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847555854	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847555854	Royal Society of Chemistry		Douglas H Everett					978-0-85186-528-7	978-1-84755-585-4		N	1979-01-01	1979-12-31							Physical Chemistry|REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / General|SCIENCE / Chemistry / Physical & Theoretical	Book	EBook	N	N	N	N	N						Complete	Y	
345460	Colloid Science: Volume 4	Colloid Science Volume 4|Colloid Science: Volume 4	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847555861	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847555861	Royal Society of Chemistry		Douglas H Everett					978-0-85186-538-6	978-1-84755-586-1		N	1983-01-01	1983-12-31							Physical Chemistry|REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / General|SCIENCE / Chemistry / Physical & Theoretical	Book	EBook	N	N	N	N	N						Complete	Y	
345461	Colour Chemistry	Colour chemistry	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550590	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550590	Royal Society of Chemistry		R.M. Christie					978-0-85404-573-0	978-1-62870-123-4|978-1-84755-059-0		N	2001-01-01	2001-12-31							Engineering|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
345462	Combining and Reporting Analytical Results	Combining and Reporting Analytical Results	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	https://dx.doi.org/10.1039/9781847557582	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/9781847557582	Royal Society of Chemistry		Umberto Sansone|Maria Belli|A Fajgelj					978-0-85404-848-9	978-1-61583-353-5|978-1-84755-758-2		N	2006-01-01	2006-12-31							Engineering|SCIENCE / Chemistry / Analytic	Book	EBook	N	N	N	N	N						Complete	Y	
345463	Conservation Science: Heritage Materials	Conservation Science|Conservation Science: Heritage Materials	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847557629	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847557629	Royal Society of Chemistry		Eric May|Mark Jones					978-0-85404-659-1	978-1-84755-762-9		N	2006-01-01	2006-12-31							ANTIQUES & COLLECTIBLES / Care & Restoration|EDUCATION / Higher|Museums|SCIENCE / Chemistry / Physical & Theoretical	Book	EBook	N	N	N	N	N						Complete	Y	
345464	Container Molecules and Their Guests	Container Molecules and Their Guests	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550620	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550620	Royal Society of Chemistry		Jane M Cram|Donald J Cram					978-0-85404-507-5	978-1-84755-062-0		N	1997-01-01	1997-12-31							Science|SCIENCE / Chemistry / Organic	Book	EBook	N	N	N	N	N						Complete	Y	
345465	Contemporary Boron Chemistry	Contemporary Boron Chemistry	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	https://dx.doi.org/10.1039/9781847550644	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/9781847550644	Royal Society of Chemistry		Matthew G Davidson|Andrew K Hughes|Ken Wade|T B Marder					978-0-85404-835-9	978-1-62870-360-3|978-1-84755-064-4		N	2000-01-01	2000-12-31							Science|SCIENCE / Chemistry / Inorganic|SCIENCE / Chemistry / Organic	Book	EBook	N	N	N	N	N						Complete	Y	
345466	Cryptosporidium: The Analytical Challenge	Cryptosporidium|Cryptosporidium: The Analytical Challenge	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550668	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550668	Royal Society of Chemistry		K Clive Thompson|Mark S Smith					978-0-85404-840-3	978-1-84755-066-8		N	2001-01-01	2001-12-31							Science|SCIENCE / Life Sciences / Bacteriology|SCIENCE / Life Sciences / Microbiology	Book	EBook	N	N	N	N	N						Complete	Y	
